day,data,image_count
DAY1,data1,117
DAY1,data2,111
DAY1,data3,132
DAY1,data4,117
DAY1,data5,101
DAY2,data1,107
DAY2,data2,104
DAY2,data3,122
DAY2,data4,102
DAY2,data5,101
DAY3,data1,121
DAY3,data2,144
DAY3,data3,105
DAY3,data4,120
DAY3,data5,109
DAY4,data1,133
DAY4,data2,108
DAY4,data3,146
DAY4,data4,119
DAY4,data5,143
DAY5,data1,108
DAY5,data2,126
DAY5,data3,103
DAY5,data4,120
DAY5,data5,115
DAY6,data1,116
DAY6,data2,102
DAY6,data3,116
DAY6,data4,121
DAY6,data5,102
