sequence,image,label,area,perimeter,aspect_ratio,max_diameter
1,10761_mask.png,1,1292.0,138.3259018078045,1.33690978788842,47.8539444560216
2,10761_mask.png,2,2234.0,174.2670273047588,1.0990323415188556,55.569775957799216
3,10761_mask.png,3,1953.0,163.78174593052023,1.138618346770304,53.2634959423431
4,10761_mask.png,4,1572.0,146.71067811865476,1.0961973706465429,46.69047011971501
5,10761_mask.png,5,1717.0,152.12489168102786,1.056174534818196,47.8539444560216
6,10761_mask.png,6,2550.0,188.8528137423857,1.2047946504308091,62.96824596572466
7,10761_mask.png,7,2526.0,187.4386001800126,1.1218455142072263,60.802960454241045
8,10761_mask.png,8,1751.0,154.81118318204307,1.098401457329269,49.20365840057018
9,10761_mask.png,9,2027.0,165.78174593052023,1.0536836446415363,52.20153254455275
10,10761_mask.png,10,1752.0,153.53910524340094,1.072677338608896,48.87739763939975
11,10761_mask.png,11,1255.0,135.01219330881975,1.4562634327555228,46.84015371452148
12,10761_mask.png,12,1739.0,152.95331880577402,1.0413448226071649,47.8539444560216
13,10761_mask.png,13,2615.0,189.6812408671319,1.0788653498356553,60.21627686929839
14,10761_mask.png,14,2091.0,170.2670273047588,1.0763044802006416,53.85164807134504
15,10761_mask.png,15,2270.0,177.4386001800126,1.0678732733013194,56.22277118748239
16,10761_mask.png,16,2545.0,186.50966799187808,1.1132342566368727,60.0
17,10761_mask.png,17,2406.0,181.09545442950497,1.0285489887510282,56.32051136131489
18,10761_mask.png,18,2124.0,169.4386001800126,1.0324568162074697,53.16013544000805
19,10761_mask.png,19,2179.0,172.0243866176395,1.0238499835227617,53.33854141237835
20,10761_mask.png,20,2349.0,183.2670273047588,1.1447217938738106,58.2494635168428
21,10761_mask.png,21,1438.0,141.88225099390854,1.174474164705995,47.16990566028302
22,10761_mask.png,22,2237.0,174.0243866176395,1.066801558493247,55.22680508593631
23,10761_mask.png,23,2209.0,172.61017305526642,1.0164639367201058,53.60037313302959
24,10761_mask.png,24,2507.0,192.50966799187808,1.1066258437988827,60.30754513325841
25,10761_mask.png,25,1893.0,161.78174593052023,1.1917068972726124,53.823786563191554
26,10761_mask.png,26,1377.0,136.22539674441617,1.1180280659969657,44.10215414239989
27,10761_mask.png,27,1868.0,161.53910524340097,1.105827957850964,51.97114584074513
28,10761_mask.png,28,1215.0,138.3259018078045,1.7169246095949309,51.24451190127583
29,10762_mask.png,1,1126.0,126.42640687119284,1.2828775007698268,42.190046219457976
30,10762_mask.png,2,1289.0,136.08326112068522,1.3224944422487224,45.39823785126467
31,10762_mask.png,3,2148.0,170.8528137423857,1.0730580437561184,53.85164807134504
32,10762_mask.png,4,2302.0,177.6812408671319,1.094173846037915,56.93856338194704
33,10762_mask.png,5,1071.0,136.42640687119285,2.04158618492422,52.3450093132096
34,10762_mask.png,6,1765.0,153.78174593052023,1.030233449069647,48.373546489791295
35,10762_mask.png,7,1562.0,145.63961030678928,1.1509031523435571,48.25971404805462
36,10762_mask.png,8,2217.0,174.02438661763952,1.052322007365207,54.81788029466298
37,10762_mask.png,9,2654.0,190.75230867899737,1.1638128214242165,62.20128616033595
38,10762_mask.png,10,1658.0,149.53910524340094,1.0953092943905125,47.8539444560216
39,10762_mask.png,11,2068.0,168.40916292848976,1.0530050656043952,54.589376255824725
40,10762_mask.png,12,1984.0,164.0243866176395,1.0511300640965695,51.78802950489621
41,10762_mask.png,13,2333.0,180.50966799187808,1.101554706094385,56.85068161420758
42,10762_mask.png,14,2121.0,169.19595949289334,1.0409103295978377,53.53503525729669
43,10762_mask.png,15,1095.0,121.74011537017762,1.085828734969278,39.0
