sequence,image,label,area,perimeter,aspect_ratio,max_diameter
1,12601_mask.png,1,950.0,119.25483399593904,1.3818521085676834,42.80186911806539
2,12601_mask.png,2,1368.0,136.22539674441617,1.1372600912093518,43.9089968002003
3,12601_mask.png,3,1487.0,143.88225099390854,1.1376834818115924,45.69463863518345
4,12601_mask.png,4,1488.0,142.46803743153546,1.033196278314909,44.10215414239989
5,12601_mask.png,5,1601.0,151.5391052434009,1.3004809103303667,51.66236541235796
6,12601_mask.png,6,2123.0,171.09545442950497,1.0397964780776494,52.88667128870941
7,12601_mask.png,7,2291.0,177.6812408671319,1.0154187855497865,54.230987451824994
8,12601_mask.png,8,2057.0,167.6812408671319,1.1421578840107178,54.405882034941776
9,12601_mask.png,9,1429.0,139.53910524340094,1.1589227449393789,45.89117562233506
10,12601_mask.png,10,1914.0,161.78174593052023,1.1441804288416095,52.630789467763066
11,12601_mask.png,11,1824.0,158.95331880577405,1.227125301472835,53.48831648126533
12,12601_mask.png,12,1804.0,156.36753236814712,1.07157352715829,49.4064773081425
13,12601_mask.png,13,1467.0,141.63961030678928,1.158218459210931,46.61544808322666
14,12601_mask.png,14,1935.0,162.61017305526642,1.1142990997310938,52.40229002629561
15,12601_mask.png,15,504.0,81.59797974644665,1.173899933293502,27.018512172212592
16,12601_mask.png,16,1854.0,159.78174593052023,1.2340416325441648,54.037024344425184
17,12601_mask.png,17,1079.0,121.39696961967,1.2039753202021044,40.60788100849391
18,12601_mask.png,18,1837.0,158.36753236814712,1.093175160371988,50.15974481593781
19,12601_mask.png,19,1183.0,127.9827560572969,1.0630027045440142,40.80441152620633
20,12601_mask.png,20,1237.0,132.08326112068522,1.3378868058830222,44.7213595499958
21,12601_mask.png,21,1515.0,144.71067811865476,1.0722494134762677,45.12205669071391
22,12601_mask.png,22,1547.0,144.71067811865476,1.1738266813212357,47.51841748206689
23,12601_mask.png,23,1114.0,123.7401153701776,1.2198857831915846,41.23105625617661
24,12601_mask.png,24,2387.0,200.79393923934,1.5833919455927448,72.00694410957877
