image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
R-50-3-7_masks.tif,1,17334.0,962.1837661840735,397.99761458267676,58.522874019638664,6.800718885561221,0.9891300593426011,80.48751337635063,214.71766470520365,35.69083881389177,5404,0.31175724010614975,185.7451934814453,188.47650146484375,120.25999450683594
R-50-3-7_masks.tif,2,8614.0,551.7989898732233,231.05494287699483,55.53996657130662,4.160156318789788,0.970679957120377,-6.755859571620839,424.70733689342933,83.7228929649408,0,0.0,,,
R-50-3-7_masks.tif,3,10000.0,708.4680374315354,267.33335331427907,54.85797030279959,4.873190747646675,0.9787191474937583,37.698847663633934,1624.455,79.5925,2929,0.2929,182.15261840820312,186.04336547851562,169.29531860351562
R-50-3-7_masks.tif,4,13799.0,757.7401153701776,283.11656248577793,64.51634259569553,4.388292192258698,0.9736894389920265,22.79136346206831,2705.379955069208,122.03942314660483,10070,0.7297630263062541,192.97845458984375,192.15560913085938,159.88589477539062
R-50-3-7_masks.tif,5,12905.0,858.4091629284898,314.67998837925717,53.39360947511412,5.893588979518688,0.9854999187134943,47.65587294312457,4136.730802014723,98.78907400232468,8749,0.6779542812863232,195.9395294189453,197.54063415527344,164.40988159179688
R-50-3-7_masks.tif,6,17798.0,1078.79393923934,383.8154228526585,63.22582015628662,6.070548739485118,0.9863387390619192,-46.01513915738921,4361.520732666591,115.30216878300932,9191,0.5164063377907631,209.59449768066406,206.24916076660156,159.50604248046875
R-50-3-7_masks.tif,7,16887.0,842.1837661840735,327.85932797902916,71.02452347486171,4.616142593270212,0.9762535382744024,-5.735739882936281,5062.100550719489,161.7206727068159,12455,0.7375495943625274,202.29835510253906,204.0329132080078,174.75086975097656
R-50-3-7_masks.tif,8,7116.0,609.5979797464466,220.79385238401355,54.571896611122995,4.045925945315427,0.9689741181892968,-72.96178695935996,5361.674395727937,40.220489038785836,2543,0.3573636874648679,206.18089294433594,209.594970703125,146.21470642089844
R-50-3-7_masks.tif,9,14474.0,885.39696961967,347.02556364210767,60.06332902439192,5.77766116661931,0.9849076959243191,15.889345939970033,2655.3189166781817,162.36023214038966,8127,0.5614895675003454,197.7852783203125,195.092041015625,159.10533142089844
R-50-3-7_masks.tif,10,12846.0,783.2548339959391,320.0071144276984,62.58777429839199,5.112933284734493,0.9806872624177808,9.459205829373818,2588.487077689553,199.15857076132647,7545,0.5873423633815974,199.53240966796875,198.9403533935547,159.04505920410156
R-50-3-7_masks.tif,11,16840.0,1109.5807358037437,407.0489165054793,65.98871154395961,6.168462862535452,0.986771881205435,-59.90774448801883,3239.769477434679,197.57850356294537,8059,0.478562945368171,209.43453979492188,207.85147094726562,167.5294647216797
R-50-3-7_masks.tif,12,15370.0,993.3380951166242,360.84483009761897,56.862390553128236,6.345931407165705,0.9875060201802672,-59.43217648365585,3217.376903057905,159.5366948601171,5701,0.3709173715029278,209.64076232910156,205.91018676757812,163.98544311523438
R-50-3-7_masks.tif,13,22748.0,1147.7401153701776,464.538201180228,64.2290890561025,7.232520467080976,0.9903953552121139,82.16758213740968,1444.7769913838579,138.43120274309828,9275,0.407728151925444,193.33045959472656,194.64657592773438,154.3499755859375
R-50-3-7_masks.tif,14,20482.0,1266.5929291125633,431.88663467559485,63.06114719024945,6.848696129371611,0.9892826426417797,39.580975650076525,2295.031539888683,310.72546626306024,14573,0.7115027829313544,194.56748962402344,195.49887084960938,166.29136657714844
R-50-3-7_masks.tif,15,23064.0,1243.982756057297,523.2041040900701,57.87068930577192,9.040917092340331,0.9938640829971926,79.05317319935872,824.8821973638571,244.48707943114812,12755,0.5530263614290669,189.998046875,192.34927368164062,165.5462188720703
R-50-3-7_masks.tif,16,22202.0,1286.2497833620557,450.0064238058155,65.52659111380972,6.867539057910442,0.9893416901951972,-49.33293422853456,1420.39829745068,333.17358796504817,11649,0.524682461039546,204.75595092773438,202.6532745361328,155.31256103515625
R-50-3-7_masks.tif,17,19552.0,1282.1076477383249,460.3002713322326,56.58822068761126,8.134206478646274,0.9924143999043661,32.937319862368504,2426.7669803600656,396.79296235679215,10629,0.5436272504091653,203.2022705078125,202.20603942871094,176.47483825683594
R-50-3-7_masks.tif,18,15073.0,982.2670273047588,370.46304946399977,73.92709609600186,5.011194393229186,0.9798869886741801,-32.17825560580704,3701.5658462150864,367.8565647183706,7343,0.4871624759503748,212.4562225341797,206.27767944335938,164.56434631347656
R-50-3-7_masks.tif,19,12549.0,926.1665222413704,323.09131538470683,53.67259588540233,6.019670002072323,0.9861051973026429,-39.559493749764435,3643.7713762052754,377.2363534943023,7110,0.5665790102797036,209.7443084716797,206.95498657226562,164.0166015625
R-50-3-7_masks.tif,20,17452.0,1172.6934341759516,402.44240617969194,57.6408761898223,6.981892587030999,0.9896897711186595,37.96561778130832,2851.0998166399268,395.1485216594087,11355,0.6506417602567041,196.37815856933594,196.6378631591797,168.07582092285156
R-50-3-7_masks.tif,21,19297.0,978.9116882454314,396.2780691602837,65.61729575330025,6.0392319526571265,0.9861956950902716,-10.61262969337568,3983.8941286210293,426.2605586360574,15212,0.7883090635850132,204.110107421875,203.27056884765625,172.59242248535156
R-50-3-7_masks.tif,22,21796.0,1321.764501987817,482.40320776813934,64.42537214064801,7.487783023045603,0.9910419581826282,33.41421231256875,4951.339420077078,449.5715727656451,15447,0.7087080198201505,199.01773071289062,199.85679626464844,171.23751831054688
R-50-3-7_masks.tif,23,14450.0,824.9116882454314,312.8335148401075,61.46963672881457,5.089236434245321,0.9805052011974003,18.28149724265473,50.10927335640138,388.47148788927336,8860,0.6131487889273356,186.32313537597656,182.89231872558594,150.0882568359375
R-50-3-7_masks.tif,24,16515.0,1052.0832611206852,427.27022611654905,56.17262992579781,7.606377459644651,0.9913203317553255,79.15860224792114,3349.672540115047,417.10790190735696,10649,0.6448077505298214,203.7275848388672,202.04563903808594,181.55592346191406
R-50-3-7_masks.tif,25,17432.0,1187.0538238691624,483.51045442588514,51.79407234766381,9.33524692131481,0.9942460027453223,78.37363437315963,3340.931333180358,456.7389284075264,9433,0.5411312528682882,205.57298278808594,205.86695861816406,174.27032470703125
R-50-3-7_masks.tif,26,18362.0,1130.4507934888325,393.1665298554221,63.82287568122323,6.160276008545509,0.9867364617009132,48.63198050626983,3042.009585012526,543.8138546999238,10973,0.5975928548088444,202.40545654296875,202.38540649414062,169.8455352783203
R-50-3-7_masks.tif,27,19782.0,1074.3259018078045,418.8649019587701,63.44595850882428,6.601916210321149,0.98846167523198,10.754731280351963,1416.5701142452735,615.4382772217167,11368,0.5746638358103326,194.08102416992188,189.99586486816406,160.62376403808594
R-50-3-7_masks.tif,28,22554.0,1253.0365799264591,411.00224544345184,77.73499858049753,5.287222653227985,0.9819510527340417,41.28099164318368,1297.0726700363573,598.8615766604594,12052,0.5343619757027578,195.28036499023438,194.31663513183594,170.5657196044922
R-50-3-7_masks.tif,29,17340.0,1075.2375900532359,381.39172151476316,65.89764938776423,5.787637723927363,0.9849600793229224,-34.18833512370229,4489.777681660899,629.3103229527105,10763,0.6207035755478663,209.15953063964844,206.19818115234375,164.69357299804688
R-50-3-7_masks.tif,30,23999.0,1190.7695526217005,503.18731234566417,63.327365044313524,7.945811609144913,0.9920489687201254,-2.6512728313014184,1489.1536314013083,731.1146297762407,14537,0.6057335722321764,200.7229766845703,197.9918212890625,168.6015625
