image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
R-D0-2_masks.tif,1,8677.0,537.3553390593274,203.43400853312693,56.46352829437518,3.6029276716912633,0.9607105982423323,-70.15028098105961,126.84222657600553,37.85017863316815,5217,0.601244669816757,178.61683654785156,180.67874145507812,126.3879623413086
R-D0-2_masks.tif,2,17635.0,1013.2964645562816,392.96636087570005,59.473647824851284,6.607403030548558,0.9884809418501754,18.385893165910442,1017.0332293734051,182.27417068330024,7272,0.4123617805500425,179.39370727539062,180.93673706054688,132.4815673828125
R-D0-2_masks.tif,3,8697.0,555.7989898732233,234.52294406890383,54.51381578322854,4.302082705079251,0.9726094098768412,-9.147980358093694,1178.5389214671725,87.59882718178682,3661,0.4209497527883178,189.8156280517578,186.72193908691406,131.4233856201172
R-D0-2_masks.tif,4,9744.0,522.0416305603426,207.5835164541187,61.86959522891009,3.3551781886738477,0.9545512698566522,10.892266288273376,1586.403735632184,87.89090722495895,4057,0.41635878489326766,170.99285888671875,178.4399871826172,132.75326538085938
R-D0-2_masks.tif,5,10531.0,743.9411254969543,323.12349282061194,59.76389619330391,5.4066671251734,0.9827466468426357,4.284929112647073,2999.9052321716836,111.87247175007121,3300,0.3133605545532238,183.96029663085938,185.90211486816406,134.12242126464844
R-D0-2_masks.tif,6,8597.0,520.6274169979695,195.0573756426098,61.11593062658033,3.1915962604646344,0.949646670509851,-7.887485091900238,3047.054204955217,75.9395137838781,4048,0.47086192857973713,200.9859161376953,196.07510375976562,147.3784637451172
R-D0-2_masks.tif,7,9159.0,581.1126983722081,225.4776891797445,61.90224588021205,3.6424799451714516,0.9615761851303767,-12.786841092507299,5287.601703242712,80.50234741784037,3228,0.35244022273173925,194.5130157470703,197.20631408691406,133.07217407226562
R-D0-2_masks.tif,8,10637.0,633.9411254969543,254.59211018879657,54.27232425935726,4.691011738729829,0.9770143312858043,-15.162870897929466,5220.893767039579,123.76891980821661,4216,0.3963523549873085,187.2096710205078,187.47698974609375,141.7374267578125
R-D0-2_masks.tif,9,16338.0,934.7106781186548,358.1334869264077,63.42307766314526,5.646737751020821,0.9841940494007615,-23.640813105912304,3987.540825070388,201.54921042967317,7608,0.46566287183253763,198.23541259765625,196.5262908935547,137.95162963867188
R-D0-2_masks.tif,10,19911.0,1350.8355697996826,495.58813860707255,54.51672562980683,9.09057051541099,0.9939311337621289,35.32404480252547,1645.7479282808497,286.0058259253679,7887,0.39611270152177186,184.88804626464844,183.62774658203125,144.17535400390625
R-D0-2_masks.tif,11,24891.0,1535.7056274847714,562.494409600255,57.889378583282124,9.716711828077868,0.9946901051511806,38.341584864776834,1611.633642682094,327.16234783656745,10965,0.44052067012173074,186.77291870117188,179.6707763671875,152.77381896972656
R-D0-2_masks.tif,12,10414.0,647.1126983722081,272.44887540813676,49.426248068124494,5.51223056689674,0.983406672689576,9.86436393916658,4882.4441136931055,242.7379489149222,3752,0.36028423276358745,174.7281494140625,182.00852966308594,137.90777587890625
R-D0-2_masks.tif,13,20068.0,1108.0832611206852,462.07352110969634,57.67483628975901,8.011700610440123,0.9921797243609759,11.017938609380149,1945.5634343233007,356.06557703807056,7189,0.35823201116204906,172.47740173339844,171.09083557128906,137.09918212890625
R-D0-2_masks.tif,14,5757.0,429.4558441227157,152.6616842809483,53.265787151879955,2.866036389280324,0.9371547760896265,74.74928875111448,5377.793989925308,153.068785825951,2698,0.46864686468646866,181.4021453857422,185.96070861816406,143.60452270507812
R-D0-2_masks.tif,15,17585.0,1118.9949493661165,418.00902575334345,54.84625678698818,7.621468633252518,0.9913548204574059,28.490497645507787,2511.5058288313903,379.00437873187377,8555,0.4864941711686096,182.6004638671875,182.07235717773438,151.0838165283203
R-D0-2_masks.tif,16,9976.0,615.4974746830583,197.26613866572225,68.56650674629789,2.877004357180166,0.9376489363575553,-66.93073337251624,5339.891339214114,243.27846832397753,5236,0.52485966319166,187.0099334716797,184.7799835205078,119.0907211303711
R-D0-2_masks.tif,17,13525.0,845.2964645562816,293.5071357551233,63.091155943827985,4.652112191706264,0.9766237070797076,-66.12434493378215,5151.2453974122,297.7412199630314,4863,0.35955637707948246,197.38494873046875,189.60292053222656,135.41415405273438
R-D0-2_masks.tif,18,12748.0,792.4264068711929,291.17455608276,58.12516478599581,5.009440526401968,0.9798727579149586,-80.65722480863003,5054.486743018513,267.500705993097,7316,0.5738939441481017,188.80946350097656,187.13941955566406,131.45831298828125
R-D0-2_masks.tif,19,17815.0,1025.6396103067893,411.16475152162167,56.101676576274535,7.328920927391744,0.9906475465576302,72.32605020883916,1021.5547572270558,379.9719898961549,6986,0.39214145383104126,185.03106689453125,186.65530395507812,144.7443389892578
R-D0-2_masks.tif,20,8750.0,547.3553390593274,215.13900889667934,53.448088649762646,4.025195555756038,0.968648534741816,-69.29468918726538,4771.393257142857,368.70514285714285,5623,0.6426285714285714,182.8429718017578,180.25894165039062,131.30482482910156
R-D0-2_masks.tif,21,11100.0,658.3259018078045,240.69107149561452,59.936749441705956,4.015751166647916,0.9684984934086975,-63.87007710809092,5338.2023423423425,401.6353153153153,6035,0.5436936936936937,186.87274169921875,185.8831787109375,145.65866088867188
R-D0-2_masks.tif,22,18818.0,1096.9116882454314,462.85992437997214,61.97158579680442,7.468905602926166,0.9909964126702323,7.95444796738149,2181.0643001381654,574.0826867892443,3628,0.19279413327665001,182.5292205810547,183.07635498046875,124.37486267089844
