image,label,area,perimeter,aspect_ratio,max_diameter,circularity
57404_mask.png,1,1132.0,123.63961030678928,1.172195960169637,40.8166632639171,0.9305528332331909
57404_mask.png,2,1460.0,140.46803743153546,1.0562523089874398,43.829214001622255,0.9298388560297287
57404_mask.png,3,2427.0,184.26702730475878,1.0791258174955713,57.8013840664737,0.8982234335812577
57404_mask.png,4,2340.0,178.50966799187808,1.0111598358063796,54.91812087098393,0.9227886345502209
57404_mask.png,5,1627.0,148.71067811865476,1.1153480363387716,47.80167361086848,0.9245131843410926
57404_mask.png,6,1501.0,143.88225099390854,1.232726880690829,48.33218389437829,0.9111211100450729
57404_mask.png,7,1610.0,148.12489168102786,1.1802746097858061,49.24428900898052,0.9221034534011944
57404_mask.png,8,1332.0,134.81118318204307,1.2318121278739123,46.400431032480725,0.9210055519336701
57404_mask.png,9,1470.0,141.63961030678928,1.1224116941702245,46.09772228646444,0.9207839749263826
57404_mask.png,10,1748.0,155.19595949289334,1.1208829511721001,49.39635614091387,0.9119908304904621
57404_mask.png,11,1211.0,128.81118318204307,1.103904961068881,42.01190307520001,0.917163722543958
57404_mask.png,12,1362.0,137.53910524340094,1.2275607505875117,45.60701700396552,0.9047624796035914
57404_mask.png,13,1460.0,142.46803743153546,1.0615396389791132,45.221676218380054,0.9039155058158307
57404_mask.png,14,1184.0,128.5685424949238,1.160783049637209,42.20189569201838,0.9001028259778735
57404_mask.png,15,1196.0,127.39696961966999,1.1131336051607816,41.048751503547585,0.9260252919936935
57404_mask.png,16,1203.0,130.46803743153546,1.0931435103689442,41.10960958218893,0.8881109653728735
57404_mask.png,17,1420.0,139.29646455628165,1.0554665231399865,43.68065933568311,0.9196403555725923
57404_mask.png,18,1566.0,148.12489168102786,1.2407987030441028,48.76474136094644,0.8969031105753231
57404_mask.png,19,1608.0,147.53910524340094,1.1392137118048515,48.507731342539614,0.9282856090596335
57404_mask.png,20,1692.0,154.61017305526642,1.0856482514877839,48.41487374764082,0.8894757046890504
57404_mask.png,21,1383.0,137.53910524340094,1.136773706757088,44.01136216933077,0.9187125618882284
57404_mask.png,22,1378.0,137.29646455628165,1.1577131767077218,45.221676218380054,0.9186294694297322
57404_mask.png,23,1399.0,139.88225099390854,1.195277190192012,45.60701700396552,0.898467461968056
57404_mask.png,24,1265.0,130.22539674441617,1.0288696595622382,40.718546143004666,0.93736559913573
57404_mask.png,25,1491.0,141.29646455628165,1.062261783683228,44.553338819890925,0.9384797732914223
57404_mask.png,26,1400.0,137.63961030678928,1.0625740192992592,43.60045871318328,0.9286477931311933
57404_mask.png,27,1786.0,156.36753236814712,1.1342879906548273,51.54609587543949,0.9179058829772219
57404_mask.png,28,1527.0,144.12489168102786,1.1046536211304954,46.57252408878007,0.9237850152735554
57404_mask.png,29,1320.0,134.81118318204307,1.1151073301372467,44.204072210600685,0.9127082046189523
57404_mask.png,30,1486.0,144.46803743153544,1.1236139144594723,46.09772228646444,0.8947158425892052
57404_mask.png,31,1891.0,162.02438661763952,1.0722174296704048,50.92150822589606,0.9051918203696658
57404_mask.png,32,1178.0,126.22539674441617,1.0731582467015124,40.52159917870962,0.9290983004274874
57404_mask.png,33,1246.0,129.63961030678928,1.0438135609353176,40.85339643163099,0.9316493227059098
57404_mask.png,34,1818.0,155.78174593052023,1.050904639935617,49.24428900898052,0.9413922292719675
57404_mask.png,35,1269.0,133.88225099390857,1.1117424970804994,42.05948168962618,0.8896628886945717
57404_mask.png,36,1161.0,126.81118318204308,1.2003192982440658,41.88078318274385,0.9072499949592345
57404_mask.png,37,1789.0,155.78174593052023,1.0387882154083181,48.25971404805462,0.9263755215443068
57404_mask.png,38,1699.0,151.53910524340094,1.0636497790490844,48.08326112068523,0.9297234938534147
57404_mask.png,39,1802.0,162.81118318204307,1.4075948278318986,57.56735185849702,0.8542720272715465
