time,condition_type,condition_value,area_bin,frequency
day2,cn_ratio,2,2750,0.004594366
day2,cn_ratio,2,2850,0.002901705
day2,cn_ratio,2,2950,0.001692661
day2,cn_ratio,2,3050,0.002297183
day2,cn_ratio,2,3150,0.001209044
day2,cn_ratio,2,3250,0.000846331
day2,cn_ratio,2,3350,0.001088139
day2,cn_ratio,2,3450,0.000604522
day2,cn_ratio,3,550,0.007889546
day2,cn_ratio,3,650,0.011702827
day2,cn_ratio,3,750,0.021301775
day2,cn_ratio,3,850,0.030769231
day2,cn_ratio,3,950,0.037343853
day2,cn_ratio,3,1050,0.056278764
day2,cn_ratio,3,1150,0.073372781
day2,cn_ratio,3,1250,0.090992768
day2,cn_ratio,3,1350,0.10834977
day2,cn_ratio,3,1450,0.107429323
day2,cn_ratio,3,1550,0.095726496
day2,cn_ratio,3,1650,0.08731098
day2,cn_ratio,3,1750,0.07113741
day2,cn_ratio,3,1850,0.054043393
day2,cn_ratio,3,1950,0.040762656
day2,cn_ratio,3,2050,0.028533859
day2,cn_ratio,3,2150,0.018540434
day2,cn_ratio,3,2250,0.011965812
day2,cn_ratio,3,2350,0.010519395
day2,cn_ratio,3,2450,0.007363577
day2,cn_ratio,3,2550,0.00644313
day2,cn_ratio,3,2650,0.004076266
day2,cn_ratio,3,2750,0.00539119
day2,cn_ratio,3,2850,0.003155819
day2,cn_ratio,3,2950,0.002629849
day2,cn_ratio,3,3050,0.003287311
day2,cn_ratio,3,3150,0.001709402
day2,cn_ratio,3,3250,0.000788955
day2,cn_ratio,3,3350,0.000657462
day2,cn_ratio,3,3450,0.00052597
day2,cn_ratio,4,550,0.004254565
day2,cn_ratio,4,650,0.00904095
day2,cn_ratio,4,750,0.017018259
day2,cn_ratio,4,850,0.02659103
day2,cn_ratio,4,950,0.042013827
day2,cn_ratio,4,1050,0.052827513
day2,cn_ratio,4,1150,0.077113987
day2,cn_ratio,4,1250,0.104414111
day2,cn_ratio,4,1350,0.116114164
day2,cn_ratio,4,1450,0.110618685
day2,cn_ratio,4,1550,0.101755008
day2,cn_ratio,4,1650,0.089700408
day2,cn_ratio,4,1750,0.065945754
day2,cn_ratio,4,1850,0.051409325
day2,cn_ratio,4,1950,0.034213792
day2,cn_ratio,4,2050,0.025527389
day2,cn_ratio,4,2150,0.017727353
day2,cn_ratio,4,2250,0.013472789
day2,cn_ratio,4,2350,0.007800035
day2,cn_ratio,4,2450,0.006559121
day2,cn_ratio,4,2550,0.005140932
day2,cn_ratio,4,2650,0.004609112
day2,cn_ratio,4,2750,0.003900018
day2,cn_ratio,4,2850,0.003722744
day2,cn_ratio,4,2950,0.001595462
day2,cn_ratio,4,3050,0.002481829
day2,cn_ratio,4,3150,0.001418188
day2,cn_ratio,4,3250,0.000886368
day2,cn_ratio,4,3350,0.001063641
day2,cn_ratio,4,3450,0.001063641
day2,cn_ratio,5,550,0.003481013
day2,cn_ratio,5,650,0.009810127
day2,cn_ratio,5,750,0.019462025
day2,cn_ratio,5,850,0.032594937
day2,cn_ratio,5,950,0.047626582
day2,cn_ratio,5,1050,0.075632911
day2,cn_ratio,5,1150,0.087025316
day2,cn_ratio,5,1250,0.113132911
day2,cn_ratio,5,1350,0.124050633
day2,cn_ratio,5,1450,0.114240506
day2,cn_ratio,5,1550,0.098734177
day2,cn_ratio,5,1650,0.076582278
day2,cn_ratio,5,1750,0.062183544
day2,cn_ratio,5,1850,0.040981013
day2,cn_ratio,5,1950,0.026265823
day2,cn_ratio,5,2050,0.017088608
day2,cn_ratio,5,2150,0.011867089
day2,cn_ratio,5,2250,0.009177215
day2,cn_ratio,5,2350,0.005379747
day2,cn_ratio,5,2450,0.006329114
day2,cn_ratio,5,2550,0.00443038
day2,cn_ratio,5,2650,0.003322785
day2,cn_ratio,5,2750,0.001898734
day2,cn_ratio,5,2850,0.001740506
day2,cn_ratio,5,2950,0.001898734
day2,cn_ratio,5,3050,0.002056962
day2,cn_ratio,5,3150,0.001265823
day2,cn_ratio,5,3250,0.001107595
day2,cn_ratio,5,3350,0.000316456
day2,cn_ratio,5,3450,0.000316456
day2,cn_ratio,6,550,0.003784295
day2,cn_ratio,6,650,0.00614948
day2,cn_ratio,6,750,0.012298959
day2,cn_ratio,6,850,0.019236834
day2,cn_ratio,6,950,0.028066856
day2,cn_ratio,6,1050,0.039104383
day2,cn_ratio,6,1150,0.061652476
day2,cn_ratio,6,1250,0.08388521
day2,cn_ratio,6,1350,0.102018291
day2,cn_ratio,6,1450,0.115263324
day2,cn_ratio,6,1550,0.110217597
day2,cn_ratio,6,1650,0.101229896
day2,cn_ratio,6,1750,0.082623778
day2,cn_ratio,6,1850,0.062598549
day2,cn_ratio,6,1950,0.04415011
day2,cn_ratio,6,2050,0.032639546
day2,cn_ratio,6,2150,0.023021129
day2,cn_ratio,6,2250,0.015925576
