sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
1,B-100-1-01_masks.tif,1,18205,1012.752309,363.8917722,73.08572872,4.978971663,0.979623097,34.10572022,348.4223565,117.6394397,12417,0.682065367,182.5682526,179.2619019,152.3571777
2,B-100-1-01_masks.tif,2,10562,619.4974747,225.1766088,64.53325543,3.489311167,0.958053469,28.7072733,398.8948116,79.60547245,7120,0.674114751,191.4158783,190.0716248,160.0787964
3,B-100-1-01_masks.tif,3,22674,1035.59798,432.2221136,73.72682114,5.862481345,0.985344482,-1.105141803,1482.924936,210.4396225,11790,0.51997883,187.9893951,184.5140839,159.0519104
4,B-100-1-01_masks.tif,4,11535,740.7106781,272.0842982,61.09414828,4.453524697,0.974464585,47.09552121,1774.605202,71.64490681,6922,0.600086693,183.9084015,186.6990814,158.6488037
5,B-100-1-01_masks.tif,5,13031,731.3553391,304.3677022,60.20904818,5.055182093,0.980239006,-7.633124196,2760.99693,122.5927404,4030,0.309262528,188.0193481,183.8454132,150.4367218
6,B-100-1-01_masks.tif,6,20094,1136.894444,423.0032841,74.93517427,5.644922938,0.984183803,38.81359601,3771.530158,163.6579576,10663,0.530655917,193.4598083,189.7528839,165.4491272
7,B-100-1-01_masks.tif,7,8533,562.5269119,212.1650238,55.90290297,3.795241616,0.964662718,-78.25170873,3871.045705,30.77698348,3530,0.413688035,204.1932068,201.3101959,167.0093536
8,B-100-1-01_masks.tif,8,11817,727.4974747,274.6535864,58.94945403,4.659137067,0.976694986,-70.41069889,3935.053398,58.48878734,4135,0.349919607,196.7238159,186.6314392,161.7018127
9,B-100-1-01_masks.tif,9,22042,1026.811183,407.6328629,70.97934346,5.742978774,0.98472344,15.87840837,2530.88785,198.5359768,13024,0.590871972,185.1488037,184.206543,158.7253571
10,B-100-1-01_masks.tif,10,14968,971.3380951,349.1306187,57.34635488,6.088104804,0.986417956,34.0626196,3805.502205,129.1042892,10281,0.686865313,195.8739471,190.638855,160.8661652
11,B-100-1-01_masks.tif,11,16661,914.7523087,325.3449751,68.55196025,4.745961661,0.977549596,-38.54865902,3983.307905,145.5093332,8773,0.52655903,199.8811188,198.3848114,153.0075226
12,B-100-1-01_masks.tif,12,10494,764.8111832,302.5694558,52.54299548,5.758511731,0.984806377,62.56429798,4286.117115,84.7518582,7083,0.674957118,197.0132751,200.5963593,162.3050995
13,B-100-1-01_masks.tif,13,5985,571.4974747,213.048245,37.24396189,5.720343223,0.984601354,61.76943831,4294.303258,53.0962406,5493,0.917794486,168.0527954,169.7917328,148.8408813
14,B-100-1-01_masks.tif,14,19067,1031.781746,381.8277067,65.67195173,5.814167185,0.985098053,20.16461799,4466.557298,177.8905963,11771,0.617349347,183.2503662,183.4202728,155.2632751
15,B-100-1-01_masks.tif,15,21989,1122.468037,427.619094,69.49735808,6.153026617,0.986704979,-72.90688327,3447.80131,112.6228114,8496,0.386375006,207.0908661,203.7622375,163.8531036
16,B-100-1-01_masks.tif,16,18641,1007.480231,370.1320513,68.14854318,5.431254052,0.982903858,40.13184775,815.7790355,241.6884287,12330,0.661445201,182.1915588,182.5523987,154.0843506
17,B-100-1-01_masks.tif,17,21323,1078.426407,460.5372848,62.52717886,7.365393629,0.990740374,-82.56848033,3512.978333,173.9265582,10750,0.504150448,192.1216736,190.3726501,152.8577728
18,B-100-1-01_masks.tif,18,23024,1020.325902,423.5224903,71.12123513,5.954937222,0.985799283,11.60629174,2434.904144,333.662222,12658,0.549774149,186.7659912,184.4386902,160.5792389
19,B-100-1-01_masks.tif,19,24673,1167.59798,507.9686258,64.47433307,7.878617764,0.991912212,-3.044200552,4008.114254,411.2981802,6966,0.282332915,181.929657,176.473877,150.2459106
20,B-100-1-01_masks.tif,20,19770,936.4264069,367.0383074,72.88781625,5.035660639,0.980083937,-6.461081569,3950.567021,401.5065756,3572,0.180677795,187.8866119,177.1396942,111.5445099
21,B-100-1-01_masks.tif,21,25248,945.254834,383.7743296,86.20384824,4.451939646,0.97444616,7.307753334,2222.212413,394.3345612,10159,0.402368504,184.4462128,180.7664185,160.7977142
22,B-100-1-01_masks.tif,22,23459,1153.923882,432.397954,78.32538174,5.520534269,0.983456972,-24.63542953,4662.877105,470.1850036,6597,0.281214033,187.9192047,183.4141235,143.4494476
23,B-100-1-01_masks.tif,23,27783,1437.320851,513.0562677,80.4754538,6.375313757,0.987621639,38.21586088,455.4373538,523.3079221,11998,0.431846813,179.966156,176.9509125,158.5468445
24,B-100-1-01_masks.tif,24,23043,1093.154329,438.7633465,72.798144,6.027122704,0.98613978,6.920636872,991.5118691,533.112225,12944,0.561732413,182.1161957,178.3848877,150.6842499
25,B-100-1-01_masks.tif,25,18996,1016.267027,392.3586584,64.34131268,6.098082897,0.986462672,-61.79533166,4187.705148,414.9582017,6362,0.334912613,195.6353302,194.1188354,164.865448
26,B-100-1-01_masks.tif,26,25395,1364.007143,496.7168436,75.92225395,6.542440692,0.988249686,52.80924337,3504.851624,555.5163615,15994,0.629809018,187.8322449,187.3341827,167.7315826
