sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,16854_mask.png,1,1421.0,139.53910524340094,1.230796782050931,47.16990566028302,0.917090245663402
2,16854_mask.png,2,1174.0,130.08326112068522,1.4600101723409875,45.70557952810576,0.8718366646100477
3,16854_mask.png,3,1099.0,126.5685424949238,1.376661476938172,45.60701700396552,0.8620967313344376
4,16854_mask.png,4,1285.0,131.98275605729688,1.1684635777889656,43.08131845707603,0.9269975911644492
5,16854_mask.png,5,1844.0,158.0243866176395,1.1085981378068148,51.07837115648854,0.9279456798899588
6,16854_mask.png,6,1361.0,135.29646455628165,1.120977075939238,43.41658669218482,0.9343188113315268
7,16854_mask.png,7,1332.0,137.05382386916236,1.212701041709157,45.45327270945405,0.8911109384732403
8,16854_mask.png,8,1431.0,139.88225099390854,1.2163789446645137,46.87216658103186,0.9190185404405204
9,16854_mask.png,9,1259.0,130.22539674441617,1.1030122382628198,41.78516483155236,0.9329195962939796
10,16854_mask.png,10,579.0,93.11269837220809,1.3447667155035967,35.608987629529715,0.8392099080963062
11,16854_mask.png,11,1318.0,133.63961030678928,1.0647888630482023,41.77319714841085,0.9273739089626668
12,16854_mask.png,12,1364.0,136.81118318204307,1.2007438782201325,45.12205669071391,0.915758665039614
13,16854_mask.png,13,1440.0,142.95331880577405,1.2840189161776356,47.80167361086848,0.8854904288607626
14,16854_mask.png,14,1578.0,145.88225099390854,1.0333536252805156,45.69463863518345,0.9317769246627298
15,16854_mask.png,15,1339.0,135.39696961967,1.1882581886579413,44.94441010848846,0.9178517755881184
16,16854_mask.png,16,1430.0,140.8528137423857,1.1416198918879945,47.51841748206689,0.9057635659187816
17,16854_mask.png,17,1400.0,137.63961030678928,1.0673999288370788,43.829214001622255,0.9286477931311932
18,16854_mask.png,18,1496.0,145.63961030678928,1.324209782175784,51.22499389946279,0.8863034526705618
19,16854_mask.png,19,1800.0,156.95331880577405,1.1399801394528668,51.26402247190519,0.9182086133464864
20,16854_mask.png,20,1291.0,133.0538238691624,1.079847010395339,42.43819034784589,0.9163922033152424
21,16854_mask.png,21,1505.0,144.71067811865476,1.325603472688529,50.21951811795888,0.9031194731184136
22,16854_mask.png,22,639.0,91.84062043356596,1.0199159565659717,28.844410203711917,0.9520091099760568
23,16854_mask.png,23,755.0,100.66904755831214,1.0590594076714397,32.449961479175904,0.9361919365416088
24,16854_mask.png,24,1089.0,120.2253967444162,1.0654060965412218,38.897300677553446,0.946771782841728
25,16854_mask.png,25,1207.0,129.63961030678928,1.376625733695244,46.84015371452148,0.9024885493627874
26,16854_mask.png,26,735.0,99.74011537017762,1.0096933483032786,31.400636936215164,0.9284477554419752
27,16854_mask.png,27,1549.0,144.71067811865476,1.049813513469491,45.39823785126467,0.9295229660202144
28,16854_mask.png,28,1301.0,131.9827560572969,1.027322019858086,41.617304093369626,0.9385399736225276
29,16854_mask.png,29,1657.0,151.78174593052023,1.230734182120964,50.44799302251776,0.9038435935968598
30,16854_mask.png,30,1542.0,144.12489168102786,1.1219266003173634,46.87216658103186,0.9328595242644548
31,16854_mask.png,31,1619.0,148.36753236814712,1.0591132345078609,46.87216658103186,0.9242276679699992
32,16854_mask.png,32,1744.0,153.6812408671319,1.1237919656158726,50.80354318352215,0.9279287435325628
33,16854_mask.png,33,1519.0,144.22539674441617,1.06784637941691,46.01086828130936,0.9176649690323684
34,16854_mask.png,34,1346.0,135.39696961967,1.0599094672488123,43.41658669218482,0.9226501045120292
35,16854_mask.png,35,1654.0,150.46803743153546,1.124239815831087,49.20365840057018,0.9180299634462602
36,16854_mask.png,36,1698.0,154.61017305526642,1.3329277497362104,53.23532661682466,0.8926298738546143
37,16854_mask.png,37,2154.0,173.6812408671319,1.234197799597821,58.30951894845301,0.8973249355555042
38,16854_mask.png,38,1892.0,161.4386001800126,1.0651857961448077,51.66236541235796,0.9122549524235172
39,16854_mask.png,39,838.0,105.49747468305831,1.0316017844092935,33.015148038438355,0.9461712655573736
40,16854_mask.png,40,1405.0,159.88225099390857,1.583498909208555,52.773099207835045,0.6906939947995785
41,16854_mask.png,41,900.0,111.39696961967,1.128005551803776,35.4682957019364,0.911392856102501
42,16854_mask.png,42,2054.0,166.61017305526642,1.0669535225047149,52.952809179494906,0.929837960727453
43,16854_mask.png,43,1548.0,145.29646455628165,1.201225410001682,48.16637831516918,0.9214477768380736
44,16855_mask.png,1,1141.0,125.9827560572969,1.2957985938048704,43.829214001622255,0.9033858806890204
45,16855_mask.png,2,1162.0,125.05382386916236,1.0620195746196683,39.319206502675,0.933731563998295
46,16855_mask.png,3,1367.0,137.98275605729688,1.203707855770239,46.22769732530488,0.90225385863059
47,16855_mask.png,4,1504.0,144.22539674441617,1.1165954193064194,46.61544808322666,0.9086031029787244
48,16855_mask.png,5,1827.0,157.19595949289334,1.0377431721553745,49.16299421312742,0.929106831971914
49,16855_mask.png,6,1256.0,132.5685424949238,1.0557373682672124,42.44997055358225,0.8980872697581179
50,16855_mask.png,7,1583.0,146.95331880577402,1.048522209320231,45.5411901469428,0.9211534469363032
51,16855_mask.png,8,1497.0,142.71067811865476,1.097436465207109,45.18849411078001,0.9236740121776216
52,16855_mask.png,9,980.0,118.5685424949238,1.2175210284044191,39.81205847478876,0.8759856202363608
53,16855_mask.png,10,1118.0,123.88225099390856,1.094705152870104,39.319206502675,0.915447602078398
54,16855_mask.png,11,1545.0,144.36753236814712,1.2508647483956683,49.39635614091387,0.9315352235489872
55,16855_mask.png,12,1358.0,140.46803743153546,1.2193404388629263,45.5411901469428,0.8648775112934052
56,16855_mask.png,13,1326.0,135.05382386916236,1.1302887301419446,43.41658669218482,0.9135653470601504
57,16855_mask.png,14,1791.0,155.0538238691624,1.1694035982277953,51.54609587543949,0.9361393215318116
58,16855_mask.png,15,1557.0,145.63961030678928,1.199124620394403,47.92702786528704,0.9224428314225028
