sequence,image,label,area,perimeter,aspect_ratio,max_diameter
1,12850_mask.png,1,830.0,126.42640687119284,2.5406247776195405,53.009433122794285
2,12850_mask.png,2,1694.0,157.7401153701776,1.4655493896451668,54.589376255824725
3,12850_mask.png,3,954.0,121.84062043356596,1.7392829444868414,45.17742799230607
4,12850_mask.png,4,979.0,128.66904755831214,1.8925968056523552,49.16299421312742
5,12850_mask.png,5,1169.0,129.35533905932738,1.1769855972444674,45.0
6,12850_mask.png,6,2144.0,171.19595949289334,1.0725362437675028,53.85164807134504
7,12850_mask.png,7,1813.0,156.36753236814712,1.0768000696584623,49.64876634922564
8,12850_mask.png,8,1853.0,159.19595949289334,1.075673456236892,50.24937810560445
9,12850_mask.png,9,496.0,84.76955262170047,1.268249239499221,27.51363298439521
10,12850_mask.png,10,1701.0,152.12489168102786,1.071185908507167,47.8539444560216
11,12850_mask.png,11,2001.0,164.61017305526642,1.0843035578107103,52.81098370604357
12,12850_mask.png,12,1626.0,148.36753236814712,1.0278598212373269,46.2709412050371
13,12850_mask.png,13,1542.0,145.53910524340094,1.1786505691453832,47.51841748206689
14,12850_mask.png,14,1308.0,133.63961030678928,1.1292836046233827,43.18564576337837
15,12850_mask.png,15,1405.0,139.0538238691624,1.2233515199100418,46.32493928760188
16,12850_mask.png,16,1766.0,154.12489168102786,1.052856440853206,48.60041152089147
17,12850_mask.png,17,1327.0,133.63961030678928,1.0708869321434182,42.72001872658765
18,12850_mask.png,18,1493.0,141.88225099390854,1.1261967898048342,45.69463863518345
19,12850_mask.png,19,990.0,116.08326112068522,1.0902110833123044,38.41874542459709
20,12850_mask.png,20,1498.0,143.29646455628165,1.082662484559132,45.22167621838005
21,12850_mask.png,21,1450.0,140.46803743153546,1.0995464259309566,44.91102314577124
22,12850_mask.png,22,1781.0,158.02438661763952,1.1116153797969903,49.678969393496885
23,12850_mask.png,23,2059.0,167.4386001800126,1.0465506947637426,52.009614495783374
24,12850_mask.png,24,1641.0,151.53910524340094,1.094984491835184,47.75981574503821
25,12850_mask.png,25,1965.0,164.0243866176395,1.0168266492136813,50.44799302251776
26,12850_mask.png,26,1640.0,148.95331880577402,1.0633334034846766,46.87216658103186
27,12850_mask.png,27,2392.0,180.50966799187808,1.0136685089639212,55.731499172371095
28,12850_mask.png,28,1408.0,138.12489168102786,1.038278123075767,43.18564576337837
29,12850_mask.png,29,1339.0,135.0538238691624,1.1973257926944356,44.64302857109943
30,12850_mask.png,30,1589.0,146.36753236814712,1.0079642189873432,46.09772228646444
31,12850_mask.png,31,1799.0,157.78174593052023,1.102617471679566,49.8196748283246
32,12850_mask.png,32,1302.0,133.0538238691624,1.0412550455840444,41.97618372363071
33,12850_mask.png,33,1700.0,150.95331880577402,1.0503244418245976,47.70744176750625
34,12850_mask.png,34,1839.0,159.4386001800126,1.138826012500752,51.24451190127583
35,12850_mask.png,35,1658.0,149.78174593052023,1.0916889706433577,48.76474136094644
36,12850_mask.png,36,2108.0,170.8528137423857,1.0550203741523132,53.33854141237835
37,12850_mask.png,37,2325.0,179.09545442950497,1.0605120696404362,56.462376853972415
38,12850_mask.png,38,1554.0,144.71067811865476,1.0098710756487772,44.91102314577124
39,12850_mask.png,39,1815.0,157.5391052434009,1.088656841351584,49.64876634922564
40,12850_mask.png,40,2143.0,171.19595949289334,1.021328052802713,53.2634959423431
41,12850_mask.png,41,1253.0,131.05382386916236,1.06426319692886,40.718546143004666
42,12850_mask.png,42,2692.0,190.99494936611663,1.0364416364494906,59.77457653551382
43,12850_mask.png,43,2095.0,169.09545442950497,1.1586796837760378,54.62600113499065
44,12850_mask.png,44,1681.0,150.95331880577405,1.0410766507585447,47.29693436154187
45,12850_mask.png,45,1627.0,149.29646455628165,1.0990261883814996,47.29693436154187
46,12850_mask.png,46,1263.0,129.9827560572969,1.0682788020471827,41.04875150354759
47,12850_mask.png,47,1713.0,152.36753236814712,1.0840541346706185,48.46648326421054
48,12850_mask.png,48,3027.0,222.55129855222071,1.724141626338802,82.61961026293939
49,12850_mask.png,49,1866.0,160.02438661763952,1.0316478377906622,49.25444142409901
50,12850_mask.png,50,1572.0,145.88225099390854,1.1265622706175824,47.63402145525821
51,12850_mask.png,51,1778.0,155.63961030678928,1.11410225948747,51.40038910358559
52,12850_mask.png,52,975.0,123.0538238691624,1.2869977949894906,41.593268686170845
53,12850_mask.png,53,1890.0,160.36753236814712,1.0468544981851975,49.92995093127971
54,12850_mask.png,54,2172.0,172.2670273047588,1.0163577371573684,53.009433122794285
55,12850_mask.png,55,1650.0,152.36753236814712,1.098475884230209,49.64876634922564
56,12850_mask.png,56,2280.0,177.6812408671319,1.1682623685613756,58.240879114244144
57,12850_mask.png,57,1804.0,157.4386001800126,1.17997910449905,51.40038910358559
58,12850_mask.png,58,1813.0,156.36753236814712,1.046227963171919,49.04079934095692
59,12850_mask.png,59,1492.0,141.88225099390854,1.1637373305086032,46.87216658103186
60,12850_mask.png,60,1365.0,136.71067811865476,1.0931466826928695,43.56604182158393
61,12850_mask.png,61,1870.0,160.12489168102786,1.090185670763528,51.31276644267
62,12850_mask.png,62,774.0,105.25483399593904,1.2503975233982014,36.05551275463989
