time,condition_type,condition_value,area_bin,frequency
day1,temperature,28,550,0.0108247422680412
day1,temperature,28,650,0.0097938144329896
day1,temperature,28,750,0.0123711340206185
day1,temperature,28,850,0.0164948453608247
day1,temperature,28,950,0.015721649484536
day1,temperature,28,1050,0.0190721649484536
day1,temperature,28,1150,0.0172680412371134
day1,temperature,28,1250,0.027061855670103
day1,temperature,28,1350,0.0376288659793814
day1,temperature,28,1450,0.0445876288659793
day1,temperature,28,1550,0.0564432989690721
day1,temperature,28,1650,0.0577319587628866
day1,temperature,28,1750,0.0636597938144329
day1,temperature,28,1850,0.0770618556701031
day1,temperature,28,1950,0.0768041237113402
day1,temperature,28,2050,0.0827319587628866
day1,temperature,28,2150,0.0791237113402061
day1,temperature,28,2250,0.0755154639175257
day1,temperature,28,2350,0.0631443298969072
day1,temperature,28,2450,0.0432989690721649
day1,temperature,28,2550,0.0324742268041237
day1,temperature,28,2650,0.0278350515463917
day1,temperature,28,2750,0.0167525773195876
day1,temperature,28,2850,0.0121134020618556
day1,temperature,28,2950,0.0085051546391752
day1,temperature,28,3050,0.006701030927835
day1,temperature,28,3150,0.0038659793814432
day1,temperature,28,3250,0.002061855670103
day1,temperature,28,3350,0.0015463917525773
day1,temperature,28,3450,0.0018041237113402
day2,temperature,28,550,0.0159504597485456
day2,temperature,28,650,0.0163257646838055
day2,temperature,28,750,0.014636892475136
day2,temperature,28,850,0.0180146368924751
day2,temperature,28,950,0.018389941827735
day2,temperature,28,1050,0.0165134171514355
day2,temperature,28,1150,0.0215800337774441
day2,temperature,28,1250,0.0382811033965096
day2,temperature,28,1350,0.0414711953462188
day2,temperature,28,1450,0.0639894914618127
day2,temperature,28,1550,0.0765622067930193
day2,temperature,28,1650,0.0919497091386751
day2,temperature,28,1750,0.0859448301745167
day2,temperature,28,1850,0.085194220303997
day2,temperature,28,1950,0.0868830925126665
day2,temperature,28,2050,0.0707449802964909
day2,temperature,28,2150,0.0623006192531431
day2,temperature,28,2250,0.0501032088571964
day2,temperature,28,2350,0.0392193657346594
day2,temperature,28,2450,0.025708388065303
day2,temperature,28,2550,0.0157628072809157
day2,temperature,28,2650,0.0151998498780258
day2,temperature,28,2750,0.0069431413023081
day2,temperature,28,2850,0.0061925314317883
day2,temperature,28,2950,0.0060048789641583
day2,temperature,28,3050,0.0030024394820791
day2,temperature,28,3150,0.0016888722086695
day2,temperature,28,3250,0.0018765246762994
day2,temperature,28,3350,0.0018765246762994
day2,temperature,28,3450,0.0016888722086695
day3,temperature,28,550,0.0140969162995594
day3,temperature,28,650,0.0172435494021397
day3,temperature,28,750,0.0202643171806167
day3,temperature,28,850,0.0258023914411579
day3,temperature,28,950,0.0352422907488986
day3,temperature,28,1050,0.0524858401510383
day3,temperature,28,1150,0.0621774701069855
day3,temperature,28,1250,0.0795468848332284
day3,temperature,28,1350,0.0876022655758338
day3,temperature,28,1450,0.0893643801132788
day3,temperature,28,1550,0.0935179358086847
day3,temperature,28,1650,0.0872246696035242
day3,temperature,28,1750,0.0804279421019509
day3,temperature,28,1850,0.0673379483952171
day3,temperature,28,1950,0.0562617998741346
day3,temperature,28,2050,0.0400251730648206
day3,temperature,28,2150,0.0305852737570799
day3,temperature,28,2250,0.0196349905601006
day3,temperature,28,2350,0.0137193203272498
day3,temperature,28,2450,0.0093140339836375
day3,temperature,28,2550,0.0070484581497797
day3,temperature,28,2650,0.0042794210195091
day3,temperature,28,2750,0.0025173064820641
day3,temperature,28,2850,0.0015103838892385
day3,temperature,28,2950,0.0005034612964128
day3,temperature,28,3050,0.0002517306482064
day3,temperature,28,3150,0.0007551919446192
day3,temperature,28,3250,0.0010069225928256
