time,condition_type,condition_value,area_bin,frequency
day1,temperature,22,550,0.0082687338501291
day1,temperature,22,650,0.0059431524547803
day1,temperature,22,750,0.0116279069767441
day1,temperature,22,850,0.0124031007751937
day1,temperature,22,950,0.0111111111111111
day1,temperature,22,1050,0.014470284237726
day1,temperature,22,1150,0.0136950904392764
day1,temperature,22,1250,0.0167958656330749
day1,temperature,22,1350,0.0310077519379844
day1,temperature,22,1450,0.0472868217054263
day1,temperature,22,1550,0.0656330749354005
day1,temperature,22,1650,0.079328165374677
day1,temperature,22,1750,0.0919896640826873
day1,temperature,22,1850,0.0961240310077519
day1,temperature,22,1950,0.0992248062015503
day1,temperature,22,2050,0.083204134366925
day1,temperature,22,2150,0.0708010335917312
day1,temperature,22,2250,0.0645994832041343
day1,temperature,22,2350,0.055813953488372
day1,temperature,22,2450,0.0354005167958656
day1,temperature,22,2550,0.0232558139534883
day1,temperature,22,2650,0.0198966408268733
day1,temperature,22,2750,0.0136950904392764
day1,temperature,22,2850,0.0074935400516795
day1,temperature,22,2950,0.0059431524547803
day1,temperature,22,3050,0.0041343669250645
day1,temperature,22,3150,0.0036175710594315
day1,temperature,22,3250,0.0041343669250645
day1,temperature,22,3350,0.0023255813953488
day1,temperature,22,3450,0.0007751937984496
day2,temperature,22,550,0.0098039215686274
day2,temperature,22,650,0.011204481792717
day2,temperature,22,750,0.0118269530034235
day2,temperature,22,850,0.0126050420168067
day2,temperature,22,950,0.0140056022408963
day2,temperature,22,1050,0.0157173980703392
day2,temperature,22,1150,0.0211640211640211
day2,temperature,22,1250,0.0323685029567382
day2,temperature,22,1350,0.0469965764083411
day2,temperature,22,1450,0.0695611577964519
day2,temperature,22,1550,0.0838779956427015
day2,temperature,22,1650,0.0988173046996576
day2,temperature,22,1750,0.103641456582633
day2,temperature,22,1850,0.0933706816059757
day2,temperature,22,1950,0.0879240585122938
day2,temperature,22,2050,0.0708061002178649
day2,temperature,22,2150,0.0555555555555555
day2,temperature,22,2250,0.0438842203548085
day2,temperature,22,2350,0.0342359165888577
day2,temperature,22,2450,0.0236539060068471
day2,temperature,22,2550,0.019140989729225
day2,temperature,22,2650,0.0108932461873638
day2,temperature,22,2750,0.0073140367258014
day2,temperature,22,2850,0.0071584189231248
day2,temperature,22,2950,0.0042016806722689
day2,temperature,22,3050,0.0032679738562091
day2,temperature,22,3150,0.0015561780267662
day2,temperature,22,3250,0.0026455026455026
day2,temperature,22,3350,0.0020230314347961
day2,temperature,22,3450,0.0007780890133831
day3,temperature,22,550,0.009769893302481
day3,temperature,22,650,0.0095127908471525
day3,temperature,22,750,0.0104126494408021
day3,temperature,22,850,0.0111839568067875
day3,temperature,22,950,0.013240776449415
day3,temperature,22,1050,0.0182542743283198
day3,temperature,22,1150,0.0308522946394138
day3,temperature,22,1250,0.0550199254402879
day3,temperature,22,1350,0.0869006299010155
day3,temperature,22,1450,0.1045121480910142
day3,temperature,22,1550,0.1190384368170716
day3,temperature,22,1650,0.1217380125980203
day3,temperature,22,1750,0.1177529245404293
day3,temperature,22,1850,0.0867720786733513
day3,temperature,22,1950,0.0663324334747396
day3,temperature,22,2050,0.0451214809101426
day3,temperature,22,2150,0.0303380897287569
day3,temperature,22,2250,0.0214680550199254
day3,temperature,22,2350,0.0125980203110939
day3,temperature,22,2450,0.007455971204525
day3,temperature,22,2550,0.0056562540172258
day3,temperature,22,2650,0.0043707417405836
day3,temperature,22,2750,0.0026995757809487
day3,temperature,22,2850,0.0025710245532844
day3,temperature,22,2950,0.0021853708702918
