image,label,area,perimeter,aspect_ratio,max_diameter
13082_mask.png,1,1574.0,146.71067811865476,1.1816547569992295,48.33218389437829
13082_mask.png,2,923.0,127.59797974644667,2.182671929176966,50.24937810560445
13082_mask.png,3,838.0,111.35533905932738,1.547270344429967,39.45883931389772
13082_mask.png,4,1416.0,139.49747468305833,1.1702169308459598,45.0
13082_mask.png,5,484.0,97.698484809835,2.619251785929154,41.10960958218893
13082_mask.png,6,1415.0,137.88225099390854,1.0602417205228116,43.73785545725808
13082_mask.png,7,834.0,105.49747468305833,1.1188790415151282,34.058772731852805
13082_mask.png,8,1201.0,126.22539674441617,1.0595828868949146,39.96248240537617
13082_mask.png,9,1522.0,143.88225099390854,1.0556981588833925,45.60701700396552
13082_mask.png,10,1779.0,154.95331880577402,1.1834291512338981,51.86520991955976
13082_mask.png,11,1650.0,149.53910524340094,1.0804410312608437,47.51841748206689
13082_mask.png,12,747.0,99.74011537017762,1.0364821634925028,31.400636936215164
13082_mask.png,13,823.0,105.25483399593904,1.1759893486385373,35.11409973215888
13082_mask.png,14,1845.0,157.78174593052023,1.032232253300518,49.24428900898052
13082_mask.png,15,1974.0,164.61017305526642,1.119036211810925,52.773099207835045
13082_mask.png,16,1363.0,135.63961030678928,1.0568413331847932,42.720018726587654
13082_mask.png,17,1618.0,148.71067811865476,1.0432487277142104,46.09772228646444
13082_mask.png,18,2487.0,183.6812408671319,1.0097843569194493,56.938563381947034
13082_mask.png,19,1740.0,152.71067811865476,1.0057189809775746,47.50789408087881
13082_mask.png,20,1612.0,147.53910524340094,1.0079104980743412,45.69463863518345
13082_mask.png,21,1217.0,128.5685424949238,1.193136783227444,42.42640687119285
13082_mask.png,22,1589.0,147.29646455628165,1.0959200062103955,47.16990566028302
13082_mask.png,23,1726.0,152.71067811865476,1.0286159086412128,47.885279575251516
13082_mask.png,24,1941.0,165.4386001800126,1.069033505222447,51.478150704935004
13082_mask.png,25,978.0,119.01219330881976,1.3756536597397195,42.05948168962618
13082_mask.png,26,1168.0,125.39696961966999,1.082007447195862,39.84971769034255
13082_mask.png,27,795.0,103.84062043356595,1.0961531771007653,33.83784863137726
13082_mask.png,28,2284.0,176.2670273047588,1.0533810463632327,55.362442142665635
13082_mask.png,29,1557.0,144.71067811865476,1.0892409471709827,46.09772228646444
13082_mask.png,30,856.0,109.63961030678928,1.2437907283306544,36.345563690772494
13082_mask.png,31,179.0,50.384776310850235,1.2200865775851522,16.401219466856727
13082_mask.png,32,1414.0,138.8111831820431,1.0640603959168418,44.598206241955516
13082_mask.png,33,1644.0,148.46803743153546,1.0873573187041308,47.53945729601885
