sequence,image,label,area,perimeter,aspect_ratio,max_diameter
1,11452_mask.png,1,2073.0,167.78174593052023,1.0157485133553703,52.009614495783374
2,11452_mask.png,2,1275.0,131.63961030678928,1.2019802675992797,43.41658669218482
3,11452_mask.png,3,1714.0,152.12489168102786,1.0889697970756806,48.104053883222775
4,11452_mask.png,4,918.0,111.1543289325507,1.0411546541845629,34.9857113690718
5,11452_mask.png,5,2018.0,165.19595949289334,1.0566554094563765,52.009614495783374
6,11452_mask.png,6,1839.0,159.09545442950497,1.0750971204076711,51.54609587543949
7,11452_mask.png,7,919.0,124.42640687119284,1.7883544772381803,47.09564735726647
8,11452_mask.png,8,1833.0,158.8528137423857,1.0243864875499955,49.39635614091387
9,11452_mask.png,9,2255.0,174.26702730475878,1.065127306940774,55.072679252057455
10,11452_mask.png,10,2592.0,187.9238815542512,1.0481076546690469,58.69412236331676
11,11452_mask.png,11,1595.0,150.36753236814712,1.2094330235281403,49.09175083453431
12,11452_mask.png,12,2188.0,173.09545442950497,1.021714477863205,53.16013544000805
13,11452_mask.png,13,1770.0,156.95331880577402,1.0591756196007738,48.91829923454004
14,11452_mask.png,14,2378.0,181.09545442950497,1.019643160983698,55.54277630799526
15,11452_mask.png,15,2616.0,188.75230867899737,1.0362167571693015,58.9406481131655
16,11452_mask.png,16,1823.0,159.63961030678928,1.1053969625275173,50.32891812864648
17,11452_mask.png,17,1405.0,137.0538238691624,1.0648013579629332,43.08131845707603
18,11452_mask.png,18,1705.0,152.36753236814712,1.0380848690572828,47.38143096192854
19,11452_mask.png,19,2186.0,172.0243866176395,1.0579438278477458,54.12023651093924
20,11452_mask.png,20,1075.0,120.5685424949238,1.0658607212923783,38.28837943815329
21,11452_mask.png,21,3604.0,221.23759005323592,1.013245487583205,68.5054742338158
22,11452_mask.png,22,1399.0,137.88225099390854,1.004073685449141,42.5205832509386
23,11454_mask.png,1,1559.0,152.3259018078045,1.3333092679341887,50.24937810560445
24,11454_mask.png,2,1319.0,166.81118318204307,3.0338061850355653,70.71067811865476
25,11454_mask.png,3,1942.0,163.78174593052023,1.2501233031868253,55.10898293381942
26,11454_mask.png,4,1516.0,143.29646455628165,1.1750204440932088,47.53945729601885
27,11454_mask.png,5,1889.0,159.4386001800126,1.0240444479668802,49.8196748283246
28,11454_mask.png,6,2044.0,166.02438661763952,1.0530568699653384,52.20153254455275
29,11454_mask.png,7,2100.0,169.4386001800126,1.0482956949169675,52.773099207835045
30,11454_mask.png,8,1800.0,156.36753236814712,1.0308985452678754,48.76474136094644
31,11454_mask.png,9,1905.0,161.19595949289334,1.0499996642159142,50.24937810560445
32,11454_mask.png,10,1583.0,145.88225099390854,1.020531635943125,45.803929962395145
33,11454_mask.png,11,1826.0,156.95331880577402,1.0279948565295676,49.03060268852505
34,11454_mask.png,12,1535.0,143.53910524340094,1.088342379326647,45.89117562233506
35,11454_mask.png,13,2315.0,176.8528137423857,1.0456789922288885,55.15432893255071
36,11454_mask.png,14,1084.0,120.5685424949238,1.11652964707761,39.44616584663204
37,11454_mask.png,15,1774.0,154.61017305526642,1.0567640037654509,48.66210024238576
38,11454_mask.png,16,2060.0,166.61017305526642,1.0036876855814634,51.42956348249516
